Facility (Host_description), Count
c413-004.stampede2.tacc.utexas.edu,1
c413-011.stampede2.tacc.utexas.edu,1
c413-012.stampede2.tacc.utexas.edu,1
c413-013.stampede2.tacc.utexas.edu,1
c413-014.stampede2.tacc.utexas.edu,1
c413-022.stampede2.tacc.utexas.edu,1
c413-023.stampede2.tacc.utexas.edu,1
c413-024.stampede2.tacc.utexas.edu,1
c413-031.stampede2.tacc.utexas.edu,1
c413-043.stampede2.tacc.utexas.edu,1
c413-051.stampede2.tacc.utexas.edu,1
c413-062.stampede2.tacc.utexas.edu,2
c413-071.stampede2.tacc.utexas.edu,2
c413-082.stampede2.tacc.utexas.edu,1
c413-091.stampede2.tacc.utexas.edu,1
c413-093.stampede2.tacc.utexas.edu,1
c413-094.stampede2.tacc.utexas.edu,1
c413-101.stampede2.tacc.utexas.edu,1
c413-102.stampede2.tacc.utexas.edu,1
c413-112.stampede2.tacc.utexas.edu,1
c413-113.stampede2.tacc.utexas.edu,2
c413-114.stampede2.tacc.utexas.edu,1
c413-133.stampede2.tacc.utexas.edu,1
c414-004.stampede2.tacc.utexas.edu,1
c414-021.stampede2.tacc.utexas.edu,1
c414-023.stampede2.tacc.utexas.edu,1
c414-052.stampede2.tacc.utexas.edu,1
c414-074.stampede2.tacc.utexas.edu,1
c414-083.stampede2.tacc.utexas.edu,1
c414-084.stampede2.tacc.utexas.edu,1
c414-091.stampede2.tacc.utexas.edu,1
c414-093.stampede2.tacc.utexas.edu,1
c414-102.stampede2.tacc.utexas.edu,1
c414-103.stampede2.tacc.utexas.edu,1
c414-112.stampede2.tacc.utexas.edu,1
c414-113.stampede2.tacc.utexas.edu,2
c414-114.stampede2.tacc.utexas.edu,1
c414-123.stampede2.tacc.utexas.edu,1
c414-133.stampede2.tacc.utexas.edu,1
c414-134.stampede2.tacc.utexas.edu,2
c415-004.stampede2.tacc.utexas.edu,1
c415-042.stampede2.tacc.utexas.edu,2
c415-044.stampede2.tacc.utexas.edu,1
c415-074.stampede2.tacc.utexas.edu,1
c415-083.stampede2.tacc.utexas.edu,1
c415-084.stampede2.tacc.utexas.edu,1
c415-091.stampede2.tacc.utexas.edu,1
c415-102.stampede2.tacc.utexas.edu,1
c415-121.stampede2.tacc.utexas.edu,2
c415-124.stampede2.tacc.utexas.edu,1
c415-131.stampede2.tacc.utexas.edu,1
c416-004.stampede2.tacc.utexas.edu,1
